 VARIABLES = X,Y,Z,S11,S22,S33,S12,S13,S23
 ZONE, T="  0.1000D+01" F=FEPOINT, I=   12 J=    2 ET=BRICK
   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.2482778881E+00   0.4602847484E-08   0.4602847138E-08   0.1809223084E-15  -0.1665209941E-15   0.6561924131E-15
   0.1075000000E+01   0.8742394974E-16  -0.1208063017E-15   0.2482778881E+00   0.4602813583E-08   0.4602813554E-08   0.2403820977E-15   0.1853886736E-15   0.1667446259E-15
   0.1075000000E+01   0.9646851741E+00  -0.1871554814E-15   0.2482778880E+00   0.4602783868E-08   0.4602784189E-08  -0.1473591944E-15   0.1679472368E-15   0.1883642938E-15
   0.0000000000E+00   0.9646851741E+00   0.0000000000E+00   0.2482778881E+00   0.4602844553E-08   0.4602842764E-08  -0.6136915280E-15  -0.1152657042E-15  -0.2039639327E-15
   0.0000000000E+00   0.7782391097E-15   0.9646851741E+00   0.2482778881E+00   0.4602770847E-08   0.4602772515E-08  -0.5253049042E-15  -0.1186448892E-15   0.2702814978E-15
   0.1075000000E+01   0.3497906520E-15   0.9646851741E+00   0.2482778880E+00   0.4602745593E-08   0.4602745347E-08   0.1463313522E-15  -0.5545838190E-16  -0.2105537124E-15
   0.1075000000E+01   0.9646851741E+00   0.9646851741E+00   0.2482778880E+00   0.4602855909E-08   0.4602856020E-08   0.6147757409E-15   0.5466544280E-15  -0.1889340445E-15
   0.0000000000E+00   0.9646851741E+00   0.9646851741E+00   0.2482778880E+00   0.4602781604E-08   0.4602781764E-08   0.1178869080E-15  -0.3492946612E-15  -0.5898748479E-15
   0.2150000000E+01  -0.8724468322E-16  -0.1479424270E-15   0.2482778881E+00   0.4602826146E-08   0.4602826368E-08  -0.2911294200E-15  -0.6319503670E-16  -0.4547277636E-15
   0.2150000000E+01   0.9646851741E+00  -0.7449116504E-15   0.2482778880E+00   0.4602916803E-08   0.4602917445E-08  -0.2719981676E-15  -0.7532478475E-15  -0.8987982632E-16
   0.2150000000E+01  -0.2667748202E-16   0.9646851741E+00   0.2482778880E+00   0.4602912047E-08   0.4602911875E-08  -0.4295445037E-15  -0.5927652524E-15   0.3225741159E-16
   0.2150000000E+01   0.9646851741E+00   0.9646851741E+00   0.2482778880E+00   0.4602575526E-08   0.4602575785E-08  -0.1358475385E-15   0.2381954919E-15   0.3971053488E-15
     1     2     3     4     5     6     7     8
     2     9    10     3     6    11    12     7
 VARIABLES = X,Y,Z,S11,S22,S33,S12,S13,S23
 ZONE, T="  0.2000D+01" F=FEPOINT, I=   12 J=    2 ET=BRICK
   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.5760453968E+00   0.6140562313E-07   0.6140562240E-07  -0.1527198839E-15  -0.7413307039E-15  -0.2332647647E-15
   0.1150000000E+01  -0.8259534330E-16  -0.3070061747E-15   0.5760453968E+00   0.6140582444E-07   0.6140582535E-07  -0.1456950932E-15  -0.4054236995E-15   0.3577659312E-15
   0.1150000000E+01   0.9329523385E+00   0.4772722405E-15   0.5760453967E+00   0.6140549977E-07   0.6140549877E-07  -0.2533578100E-15   0.2738234088E-15   0.3367977132E-15
   0.0000000000E+00   0.9329523385E+00   0.0000000000E+00   0.5760453968E+00   0.6140578560E-07   0.6140578603E-07  -0.6867495891E-16   0.1053400325E-14  -0.1473561030E-15
   0.0000000000E+00  -0.3140461363E-15   0.9329523385E+00   0.5760453968E+00   0.6140550907E-07   0.6140550829E-07  -0.2868780583E-16   0.1043142569E-14   0.3837763287E-15
   0.1150000000E+01  -0.3817271756E-15   0.9329523385E+00   0.5760453967E+00   0.6140573818E-07   0.6140573921E-07   0.4547207844E-15  -0.4308364204E-15  -0.3363586438E-15
   0.1150000000E+01   0.9329523385E+00   0.9329523385E+00   0.5760453967E+00   0.6140550485E-07   0.6140550399E-07   0.5183519563E-15   0.2366912362E-15  -0.3573268616E-15
   0.0000000000E+00   0.9329523385E+00   0.9329523385E+00   0.5760453967E+00   0.6140582516E-07   0.6140582552E-07  -0.3471632186E-15  -0.1053342685E-14   0.4696849903E-15
   0.2300000000E+01  -0.8791179218E-16   0.1741157120E-15   0.5760453968E+00   0.6140542494E-07   0.6140542473E-07   0.1180853588E-16   0.9920095231E-15  -0.5153082896E-15
   0.2300000000E+01   0.9329523385E+00   0.1642770085E-16   0.5760453967E+00   0.6140572951E-07   0.6140573068E-07  -0.2875618227E-15  -0.9982438005E-15  -0.2549487332E-15
   0.2300000000E+01  -0.6248712870E-15   0.9329523385E+00   0.5760453967E+00   0.6140568372E-07   0.6140568255E-07  -0.3880791665E-15  -0.8432891911E-15   0.9605934872E-16
   0.2300000000E+01   0.9329523385E+00   0.9329523385E+00   0.5760453967E+00   0.6140578567E-07   0.6140578590E-07   0.5765859031E-16   0.1034234864E-14   0.3564189051E-15
     1     2     3     4     5     6     7     8
     2     9    10     3     6    11    12     7
 VARIABLES = X,Y,Z,S11,S22,S33,S12,S13,S23
 ZONE, T="  0.3000D+01" F=FEPOINT, I=   12 J=    2 ET=BRICK
   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.1049164453E+01   0.8372873231E-07   0.8372873200E-07  -0.9221735534E-16  -0.5095423714E-15  -0.1213793105E-15
   0.1225000000E+01  -0.3486407448E-16  -0.1627568571E-15   0.1049164453E+01   0.8372861318E-07   0.8372861264E-07   0.9367887069E-15   0.1182031033E-14   0.6191656479E-16
   0.1225000000E+01   0.9042974983E+00   0.2703504925E-15   0.1049164453E+01   0.8372879621E-07   0.8372879618E-07   0.6868931894E-15  -0.4958554369E-15   0.7728444278E-16
   0.0000000000E+00   0.9042974983E+00   0.0000000000E+00   0.1049164453E+01   0.8372883111E-07   0.8372883084E-07  -0.5871147987E-15   0.6430653211E-15  -0.4645267052E-15
   0.0000000000E+00  -0.1790776827E-15   0.9042974983E+00   0.1049164453E+01   0.8372866487E-07   0.8372866533E-07  -0.4757851001E-15   0.2685209243E-15   0.7144949877E-16
   0.1225000000E+01  -0.3716340020E-15   0.9042974983E+00   0.1049164453E+01   0.8372866582E-07   0.8372866547E-07  -0.1062150706E-14   0.1058674470E-14  -0.4750423530E-16
   0.1225000000E+01   0.9042974983E+00   0.9042974983E+00   0.1049164453E+01   0.8372866640E-07   0.8372866650E-07  -0.6809402916E-15  -0.1554306772E-15  -0.3213635730E-16
   0.0000000000E+00   0.9042974983E+00   0.9042974983E+00   0.1049164453E+01   0.8372861354E-07   0.8372861379E-07   0.2138356693E-15  -0.8505707263E-16  -0.2716978959E-15
   0.2450000000E+01  -0.1791517040E-16   0.1412894906E-15   0.1049164453E+01   0.8372875462E-07   0.8372875438E-07   0.5210960193E-16   0.8194624828E-15  -0.2136215793E-15
   0.2450000000E+01   0.9042974983E+00   0.1490925971E-15   0.1049164453E+01   0.8372865548E-07   0.8372865605E-07   0.4721601049E-16  -0.5085201672E-15  -0.9509372600E-16
   0.2450000000E+01  -0.3419994589E-15   0.9042974983E+00   0.1049164453E+01   0.8372869501E-07   0.8372869444E-07   0.1387916471E-15  -0.2053139386E-15   0.3154435271E-15
   0.2450000000E+01   0.9042974983E+00   0.9042974983E+00   0.1049164453E+01   0.8372884566E-07   0.8372884570E-07   0.2115917056E-15   0.9004517457E-15   0.4339713804E-15
     1     2     3     4     5     6     7     8
     2     9    10     3     6    11    12     7
 VARIABLES = X,Y,Z,S11,S22,S33,S12,S13,S23
 ZONE, T="  0.4000D+01" F=FEPOINT, I=   12 J=    2 ET=BRICK
   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.1776880462E+01   0.1093695521E-06   0.1093695521E-06   0.5402910784E-15   0.6324231366E-15  -0.6845463834E-16
   0.1300000000E+01   0.1419626893E-15   0.1574912406E-15   0.1776880462E+01   0.1093693189E-06   0.1093693190E-06  -0.8534741400E-16  -0.7512472547E-16  -0.2824426478E-15
   0.1300000000E+01   0.8783557488E+00  -0.1259026216E-16   0.1776880462E+01   0.1093694388E-06   0.1093694398E-06  -0.3210964421E-15   0.3060901167E-15   0.2175357953E-16
   0.0000000000E+00   0.8783557488E+00   0.0000000000E+00   0.1776880462E+01   0.1093695166E-06   0.1093695164E-06  -0.6789801902E-15  -0.3004237043E-15  -0.8524127686E-16
   0.0000000000E+00  -0.1163782602E-15   0.8783557488E+00   0.1776880462E+01   0.1093694951E-06   0.1093694952E-06  -0.1811027715E-15  -0.6135238681E-15  -0.1457470434E-15
   0.1300000000E+01  -0.1242060585E-15   0.8783557488E+00   0.1776880462E+01   0.1093695316E-06   0.1093695311E-06   0.2046098136E-16  -0.5964309015E-16   0.1156252680E-16
   0.1300000000E+01   0.8783557488E+00   0.8783557488E+00   0.1776880461E+01   0.1093696519E-06   0.1093696518E-06  -0.2212793227E-15  -0.1610614672E-15   0.3157587541E-15
   0.0000000000E+00   0.8783557488E+00   0.8783557488E+00   0.1776880461E+01   0.1093694595E-06   0.1093694596E-06   0.5192451013E-15   0.7129657454E-15  -0.1625336819E-15
   0.2600000000E+01   0.1893434740E-16   0.6363869406E-17   0.1776880462E+01   0.1093695184E-06   0.1093695185E-06  -0.4778191895E-15  -0.4841971823E-15   0.2663013956E-15
   0.2600000000E+01   0.8783557488E+00   0.3144670021E-15   0.1776880462E+01   0.1093693911E-06   0.1093693905E-06   0.2699540228E-15   0.9776263871E-15   0.2271113935E-15
   0.2600000000E+01   0.1232453084E-15   0.8783557488E+00   0.1776880462E+01   0.1093694609E-06   0.1093694618E-06   0.7965407271E-15   0.7927130929E-15  -0.5128323991E-16
   0.2600000000E+01   0.8783557488E+00   0.8783557488E+00   0.1776880461E+01   0.1093693339E-06   0.1093693338E-06  -0.3872877537E-15  -0.9700662303E-15  -0.9047324192E-16
     1     2     3     4     5     6     7     8
     2     9    10     3     6    11    12     7
 VARIABLES = X,Y,Z,S11,S22,S33,S12,S13,S23
 ZONE, T="  0.5000D+01" F=FEPOINT, I=   12 J=    2 ET=BRICK
   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.2953334594E+01   0.1501847872E-06   0.1501847842E-06   0.9595424552E-16  -0.9194410071E-14  -0.9366181346E-15
   0.1375000000E+01   0.1143266631E-16  -0.1762072708E-14   0.2953334594E+01   0.1501847096E-06   0.1501847122E-06  -0.7574554958E-15  -0.4553872337E-15   0.1078964285E-14
   0.1375000000E+01   0.8548991327E+00  -0.7379755472E-15   0.2953334594E+01   0.1501847433E-06   0.1501847458E-06  -0.9940673364E-15   0.9037568942E-15   0.8254032178E-15
   0.0000000000E+00   0.8548991327E+00   0.0000000000E+00   0.2953334594E+01   0.1501846071E-06   0.1501846040E-06  -0.1099365734E-13  -0.3682972851E-14  -0.9399931376E-15
   0.0000000000E+00  -0.1536583233E-14   0.8548991327E+00   0.2953334594E+01   0.1501846491E-06   0.1501846464E-06   0.1202397031E-13   0.5692538535E-15  -0.1276516730E-14
   0.1375000000E+01   0.7416189641E-15   0.8548991327E+00   0.2953334594E+01   0.1501846503E-06   0.1501846531E-06   0.8386396787E-15  -0.9951043433E-15   0.1386868483E-14
   0.1375000000E+01   0.8548991327E+00   0.8548991327E+00   0.2953334593E+01   0.1501847093E-06   0.1501847124E-06   0.1280329221E-14   0.1388573091E-14   0.1133307416E-14
   0.0000000000E+00   0.8548991327E+00   0.8548991327E+00   0.2953334593E+01   0.1501846897E-06   0.1501846868E-06  -0.1562473771E-14   0.1104571531E-13  -0.1279891733E-14
   0.2750000000E+01  -0.1924678102E-16  -0.2598856943E-16   0.2953334594E+01   0.1501845200E-06   0.1501845169E-06  -0.1543975405E-15   0.9229651944E-14  -0.1170050591E-14
   0.2750000000E+01   0.8548991327E+00  -0.3236003300E-15   0.2953334593E+01   0.1501848176E-06   0.1501848148E-06   0.1046199036E-13   0.2237086720E-14  -0.9634260093E-15
   0.2750000000E+01  -0.1625181836E-14   0.8548991327E+00   0.2953334593E+01   0.1501847255E-06   0.1501847218E-06  -0.1240987670E-13  -0.1613446198E-14  -0.1130134959E-14
   0.2750000000E+01   0.8548991327E+00   0.8548991327E+00   0.2953334593E+01   0.1501846168E-06   0.1501846139E-06   0.2059946467E-14  -0.1152196905E-13  -0.9235103770E-15
     1     2     3     4     5     6     7     8
     2     9    10     3     6    11    12     7
 VARIABLES = X,Y,Z,S11,S22,S33,S12,S13,S23
 ZONE, T="  0.6000D+01" F=FEPOINT, I=   12 J=    2 ET=BRICK
   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.4934937747E+01   0.2329188885E-06   0.2329188908E-06  -0.4714065617E-14   0.8544329463E-14  -0.1138623464E-14
   0.1450000000E+01  -0.8854671722E-15   0.9507212666E-15   0.4934937746E+01   0.2329187763E-06   0.2329187743E-06  -0.1842666502E-14  -0.8520820730E-15  -0.1220526350E-14
   0.1450000000E+01   0.8338630074E+00   0.5553637977E-15   0.4934937746E+01   0.2329188245E-06   0.2329188225E-06  -0.1094082460E-14   0.2099521602E-14  -0.1550035342E-14
   0.0000000000E+00   0.8338630074E+00   0.0000000000E+00   0.4934937746E+01   0.2329188509E-06   0.2329188530E-06   0.8970742355E-14   0.2176254297E-14  -0.9744693775E-15
   0.0000000000E+00  -0.1803665089E-14   0.8338630074E+00   0.4934937746E+01   0.2329190096E-06   0.2329190130E-06  -0.6237220787E-14  -0.3164412033E-14  -0.1406122073E-14
   0.1450000000E+01  -0.2428058120E-14   0.8338630074E+00   0.4934937746E+01   0.2329186644E-06   0.2329186626E-06   0.1726039450E-14  -0.2907341901E-14  -0.1181120777E-14
   0.1450000000E+01   0.8338630074E+00   0.8338630074E+00   0.4934937745E+01   0.2329188047E-06   0.2329188033E-06   0.2280518315E-14   0.1790856256E-14  -0.1510629769E-14
   0.0000000000E+00   0.8338630074E+00   0.8338630074E+00   0.4934937745E+01   0.2329185924E-06   0.2329185935E-06   0.1524042275E-14  -0.6727299764E-14  -0.1241967986E-14
   0.2900000000E+01  -0.1603569545E-14  -0.9953814208E-15   0.4934937746E+01   0.2329187561E-06   0.2329187572E-06  -0.3170521445E-14  -0.1344998632E-13   0.2261880776E-14
   0.2900000000E+01   0.8338630074E+00   0.1611164719E-14   0.4934937746E+01   0.2329186663E-06   0.2329186681E-06  -0.1535816133E-13   0.6132474230E-14   0.2389348172E-14
   0.2900000000E+01  -0.6081297426E-15   0.8338630074E+00   0.4934937746E+01   0.2329186004E-06   0.2329186018E-06   0.1228378439E-13  -0.5851764485E-14   0.2417402619E-14
   0.2900000000E+01   0.8338630074E+00   0.8338630074E+00   0.4934937745E+01   0.2329188367E-06   0.2329188381E-06   0.5631479056E-14   0.1441869760E-13   0.2544870015E-14
     1     2     3     4     5     6     7     8
     2     9    10     3     6    11    12     7
 VARIABLES = X,Y,Z,S11,S22,S33,S12,S13,S23
 ZONE, T="  0.7000D+01" F=FEPOINT, I=   12 J=    2 ET=BRICK
   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.8377583070E+01   0.4351590643E-06   0.4351590598E-06  -0.2137289659E-14  -0.2230694963E-13  -0.1623063784E-14
   0.1525000000E+01  -0.1031677830E-15  -0.2485907982E-14   0.8377583070E+01   0.4351587592E-06   0.4351587596E-06   0.3073108899E-14  -0.1045893191E-13   0.1532474080E-14
   0.1525000000E+01   0.8154100406E+00  -0.3157146453E-15   0.8377583069E+01   0.4351590812E-06   0.4351590837E-06  -0.1182814775E-13  -0.3920361002E-14   0.1585658552E-14
   0.0000000000E+00   0.8154100406E+00   0.0000000000E+00   0.8377583069E+01   0.4351587708E-06   0.4351587633E-06  -0.2381031351E-13  -0.1689236894E-14  -0.1719480978E-14
   0.0000000000E+00  -0.2439059273E-14   0.8154100406E+00   0.8377583069E+01   0.4351591665E-06   0.4351591618E-06   0.2258179972E-13  -0.5675477255E-14  -0.1971524332E-14
   0.1525000000E+01   0.1988234653E-16   0.8154100406E+00   0.8377583069E+01   0.4351588372E-06   0.4351588375E-06   0.1079259808E-13   0.3918294884E-14   0.1791917090E-14
   0.1525000000E+01   0.8154100406E+00   0.8154100406E+00   0.8377583068E+01   0.4351591587E-06   0.4351591601E-06  -0.2359430950E-14   0.1139870646E-13   0.1845101562E-14
   0.0000000000E+00   0.8154100406E+00   0.8154100406E+00   0.8377583068E+01   0.4351588324E-06   0.4351588264E-06   0.2197580631E-14   0.2526234009E-13  -0.2067941526E-14
   0.3050000000E+01   0.4551204465E-15  -0.3404909157E-14   0.8377583069E+01   0.4351590982E-06   0.4351591034E-06   0.5777627500E-14  -0.3506707703E-14   0.1737433348E-14
   0.3050000000E+01   0.8154100406E+00  -0.9337810288E-15   0.8377583069E+01   0.4351589107E-06   0.4351589146E-06  -0.2351861946E-14  -0.5864132561E-14   0.2014096919E-14
   0.3050000000E+01   0.6057685250E-15   0.8154100406E+00   0.8377583069E+01   0.4351591609E-06   0.4351591653E-06   0.7815871787E-15   0.8616273519E-14   0.1543972906E-14
   0.3050000000E+01   0.8154100406E+00   0.8154100406E+00   0.8377583068E+01   0.4351590025E-06   0.4351590062E-06  -0.5138251799E-14  -0.2177574621E-14   0.1820636477E-14
     1     2     3     4     5     6     7     8
     2     9    10     3     6    11    12     7
 VARIABLES = X,Y,Z,S11,S22,S33,S12,S13,S23
 ZONE, T="  0.8000D+01" F=FEPOINT, I=   12 J=    2 ET=BRICK
   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.1443628083E+02   0.9814521204E-06   0.9814521409E-06  -0.8691099945E-13  -0.2928878264E-15  -0.4045415439E-14
   0.1600000000E+01  -0.7141219963E-14  -0.9411856597E-16   0.1443628083E+02   0.9814521899E-06   0.9814521893E-06  -0.8259708410E-13  -0.1608524548E-14   0.6654215205E-14
   0.1600000000E+01   0.8000236212E+00   0.7012303701E-14   0.1443628082E+02   0.9814524692E-06   0.9814524703E-06  -0.2870243165E-14   0.8056209843E-13   0.6647629634E-14
   0.0000000000E+00   0.8000236212E+00   0.0000000000E+00   0.1443628083E+02   0.9814519582E-06   0.9814519782E-06  -0.5958775346E-14   0.8554732924E-13  -0.4014420673E-14
   0.0000000000E+00  -0.5544007489E-14   0.8000236212E+00   0.1443628083E+02   0.9814524020E-06   0.9814524234E-06   0.5414004628E-14  -0.9100987512E-13  -0.4204876489E-14
   0.1600000000E+01  -0.5108200348E-14   0.8000236212E+00   0.1443628082E+02   0.9814519845E-06   0.9814519837E-06   0.3298519120E-14  -0.8123201784E-13   0.6923535581E-14
   0.1600000000E+01   0.8000236212E+00   0.8000236212E+00   0.1443628082E+02   0.9814523363E-06   0.9814523375E-06   0.8118869315E-13   0.1126293395E-14   0.6916950010E-14
   0.0000000000E+00   0.8000236212E+00   0.8000236212E+00   0.1443628082E+02   0.9814520745E-06   0.9814520940E-06   0.8805118127E-13   0.6240599901E-14  -0.4173881724E-14
   0.3200000000E+01  -0.1393896354E-13  -0.3924170333E-15   0.1443628083E+02   0.9814522721E-06   0.9814522528E-06  -0.8068152467E-13  -0.3960913647E-14   0.1683718261E-13
   0.3200000000E+01   0.8000236212E+00   0.1355382773E-13   0.1443628082E+02   0.9814519205E-06   0.9814519022E-06  -0.2180066899E-14   0.7745706545E-13   0.1664917846E-13
   0.3200000000E+01  -0.4714694786E-14   0.8000236212E+00   0.1443628082E+02   0.9814521786E-06   0.9814521628E-06   0.4894761127E-14  -0.7249091293E-13   0.1669112860E-13
