 VARIABLES = X,Y,Z
 ZONE, T="zone1" F=FEPOINT, I=   12 J=    2 ET=BRICK
   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
   0.1000000000E+01   0.0000000000E+00   0.0000000000E+00
   0.1000000000E+01   0.1000000000E+01   0.0000000000E+00
   0.0000000000E+00   0.1000000000E+01   0.0000000000E+00
   0.0000000000E+00   0.0000000000E+00   0.1000000000E+01
   0.1000000000E+01   0.0000000000E+00   0.1000000000E+01
   0.1000000000E+01   0.1000000000E+01   0.1000000000E+01
   0.0000000000E+00   0.1000000000E+01   0.1000000000E+01
   0.2000000000E+01   0.0000000000E+00   0.0000000000E+00
   0.2000000000E+01   0.1000000000E+01   0.0000000000E+00
   0.2000000000E+01   0.0000000000E+00   0.1000000000E+01
   0.2000000000E+01   0.1000000000E+01   0.1000000000E+01
     1     2     3     4     5     6     7     8
     2     9    10     3     6    11    12     7
